Category,Buildings,Noncombustion,Otherindustrialcombustion,PowerIndustry,Transport,TotalCO2percap
2010,6838174,34745256,11418698,9967401,27549530,0.57
2011,6914112,34442161,18398502,10676049,24746903,0.58
2012,8114295,27318548,18089633,11633126,25451663,0.54
2013,8630828,27963839,17340022,11890567,23952755,0.52
2014,8039586,25604513,18124172,12641126,21292626,0.49
2015,8134190,24987839,18770470,12976264,24562458,0.49
2016,8525771,25147111,18613636,12784689,25744946,0.49
2017,8604138,27380904,19057571,13113885,25981624,0.49
2018,9058874,27205754,20164166,13888636,27354731,0.5
2019,9421303,27427052,20688986,14236833,28449057,0.5
